"Latitude (decimal degrees):	41.811"
"Longitude (decimal degrees):	12.632"
"Elevation (m):	149"
"Radiation database:	PVGIS-SARAH3"


Slope: 35 deg. 
Azimuth: 0 deg. 
"Nominal power of the PV system (c-Si) (kWp):	1.0"
"System losses (%):	14.0"
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,7.51,1.66,0.0
20230101:0110,0.0,0.0,0.0,7.22,1.72,0.0
20230101:0210,0.0,0.0,0.0,6.92,1.66,0.0
20230101:0310,0.0,0.0,0.0,6.67,1.72,0.0
20230101:0410,0.0,0.0,0.0,6.28,1.79,0.0
20230101:0510,0.0,0.0,0.0,5.93,1.72,0.0
20230101:0610,0.0,0.0,0.0,5.79,1.72,0.0
20230101:0710,106.63,142.0,4.35,6.16,1.79,0.0
20230101:0810,384.85,455.87,12.65,7.45,1.59,0.0
20230101:0910,541.0,654.33,19.25,10.27,1.31,0.0
20230101:1010,640.39,802.11,23.58,12.86,0.9,0.0
20230101:1110,619.4,784.85,25.18,14.48,0.62,0.0
20230101:1210,592.21,746.67,23.83,15.05,0.76,0.0
20230101:1310,346.91,427.25,19.72,15.19,0.83,0.0
20230101:1410,351.36,433.25,13.29,15.03,0.97,0.0
20230101:1510,125.13,168.55,5.11,14.35,1.03,0.0
20230101:1610,0.0,0.0,0.0,13.06,1.03,0.0
20230101:1710,0.0,0.0,0.0,12.09,0.69,0.0
20230101:1810,0.0,0.0,0.0,11.69,0.62,0.0
20230101:1910,0.0,0.0,0.0,9.98,1.24,0.0
20230101:2010,0.0,0.0,0.0,8.94,1.45,0.0
20230101:2110,0.0,0.0,0.0,8.22,1.52,0.0
20230101:2210,0.0,0.0,0.0,7.61,1.59,0.0
20230101:2310,0.0,0.0,0.0,7.22,1.79,0.0
20230102:0010,0.0,0.0,0.0,6.55,1.79,0.0
20230102:0110,0.0,0.0,0.0,6.05,1.72,0.0
20230102:0210,0.0,0.0,0.0,5.66,1.72,0.0
20230102:0310,0.0,0.0,0.0,5.39,1.72,0.0
20230102:0410,0.0,0.0,0.0,5.25,1.72,0.0
20230102:0510,0.0,0.0,0.0,5.02,1.72,0.0
20230102:0610,0.0,0.0,0.0,4.96,1.72,0.0
20230102:0710,106.17,141.71,4.34,6.47,1.79,0.0
20230102:0810,216.09,260.98,12.67,7.49,1.59,0.0
20230102:0910,194.16,238.89,19.29,9.93,1.38,0.0
20230102:1010,265.92,325.16,23.64,12.2,1.03,0.0
20230102:1110,110.53,147.53,25.26,13.81,1.17,0.0
20230102:1210,129.99,170.24,23.94,14.59,1.79,0.0
20230102:1310,135.9,176.49,19.83,14.66,2.07,0.0
20230102:1410,113.74,150.5,13.42,14.38,1.79,0.0
20230102:1510,13.18,28.34,5.24,13.71,1.24,0.0
20230102:1610,0.0,0.0,0.0,12.69,1.03,0.0
20230102:1710,0.0,0.0,0.0,11.85,0.97,0.0
20230102:1810,0.0,0.0,0.0,10.77,1.31,0.0
20230102:1910,0.0,0.0,0.0,10.01,1.38,0.0
20230102:2010,0.0,0.0,0.0,9.18,1.59,0.0
20230102:2110,0.0,0.0,0.0,8.31,1.72,0.0
20230102:2210,0.0,0.0,0.0,7.62,1.72,0.0
20230102:2310,0.0,0.0,0.0,7.06,1.72,0.0
20230103:0010,0.0,0.0,0.0,6.66,1.72,0.0
20230103:0110,0.0,0.0,0.0,6.01,1.72,0.0
20230103:0210,0.0,0.0,0.0,5.98,1.66,0.0
20230103:0310,0.0,0.0,0.0,6.21,1.59,0.0
20230103:0410,0.0,0.0,0.0,6.44,1.66,0.0
20230103:0510,0.0,0.0,0.0,7.24,1.72,0.0
20230103:0610,0.0,0.0,0.0,7.12,1.93,0.0
20230103:0710,6.4,17.62,4.35,6.99,1.66,0.0
20230103:0810,25.14,43.57,12.69,8.49,1.45,0.0
20230103:0910,130.58,167.72,19.33,10.41,1.17,0.0
20230103:1010,193.34,241.56,23.71,12.43,1.03,0.0
20230103:1110,273.97,336.9,25.35,13.73,1.17,0.0
20230103:1210,125.48,164.89,24.05,14.19,1.45,0.0
20230103:1310,169.1,214.65,19.96,14.22,1.38,0.0
20230103:1410,120.6,158.43,13.55,14.11,1.31,0.0
20230103:1510,29.47,50.47,5.38,13.51,0.9,0.0
20230103:1610,0.0,0.0,0.0,12.72,0.62,0.0
20230103:1710,0.0,0.0,0.0,12.15,0.76,0.0
20230103:1810,0.0,0.0,0.0,11.3,1.24,0.0
20230103:1910,0.0,0.0,0.0,10.64,1.31,0.0
20230103:2010,0.0,0.0,0.0,10.12,1.38,0.0
20230103:2110,0.0,0.0,0.0,9.5,1.52,0.0
20230103:2210,0.0,0.0,0.0,8.87,1.59,0.0
20230103:2310,0.0,0.0,0.0,8.4,1.66,0.0
20230104:0010,0.0,0.0,0.0,8.04,1.59,0.0
20230104:0110,0.0,0.0,0.0,7.28,1.59,0.0
20230104:0210,0.0,0.0,0.0,6.93,1.59,0.0
20230104:0310,0.0,0.0,0.0,6.36,1.66,0.0
20230104:0410,0.0,0.0,0.0,6.27,1.59,0.0
20230104:0510,0.0,0.0,0.0,6.03,1.59,0.0
20230104:0610,0.0,0.0,0.0,5.77,1.59,0.0
